"id","user_id","discription","topic","difficulty","subject","opt_a","opt_b","opt_c","opt_d","opt_e","correct_ans","explanation","date"
"22",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"23",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"24",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"25",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"26",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"27",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"28",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"29",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"30",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"31",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"32",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"33",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"34",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"35",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"36",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"37",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"38",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"39",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"40",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"41",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"42",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"43",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"44",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"45",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"46",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"47",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"48",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"49",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"50",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"51",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"52",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"53",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"54",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"55",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"56",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"57",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
"58",NULL,"Voter turnout matters because","Governament","medium","General Knowledge"," federal funds are allocated on the basis of the number of voters in a congressional district."," better candidates are selected when more people vote."," politicians pay more attention to those who vote than to those who do not vote."," it makes citizens feel better.",NULL,"c","fkjfdsjkdskjdskjdskjds","2021-04-29"
